prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
72004,8-14,0.0024827252773150575,Tech Wizard Showdown,blah,blahblah,NEXO KNIGHTS™,GB,55.986000000000004,-0.3706016344719826,1.087456746254533,Average,0.990696524039318,1.24451490201063
72003,8-14,-0.16234495319109024,Berserker Bomber,blah,blahblah,NEXO KNIGHTS™,GB,41.986000000000004,-0.2868142878633818,0.21607404970398805,unknown,0.16158837326691067,0.11783563666239048
72002,7-14,-0.37650062302595255,Twinfector,blah,blahblah,NEXO KNIGHTS™,GB,27.986,-0.42645986554438303,-0.655308646846557,Easy,0.990696524039318,-1.9745687132700538
72001,7-14,-0.34521945776917495,Lance's Hover Jouster,blah,blahblah,NEXO KNIGHTS™,GB,27.986,-0.2868142878633818,0.21607404970398805,unknown,0.16158837326691067,0.11783563666239048
70620,16+,5.249296636231443,NINJAGO® City,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,GB,363.986,2.003373186105038,0.7389036676343148,Challenging,0.783419486346217,0.9226065404825614
70618,9-14,2.1548675192917464,Destiny's Bounty,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,GB,153.986,0.9979250268018293,0.5646271283242064,Challenging,0.783419486346217,0.9226065404825614
70656,9-14,0.3922941692463903,"garmadon, Garmadon, GARMADON!",blah,blahblah,THE LEGO® NINJAGO® MOVIE™,GB,111.986,-0.2030269412547811,0.39035058901409647,Average,0.783419486346217,0.9226065404825614
70616,9-14,0.493356395460595,Ice Tank,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,GB,111.986,-0.2868142878633818,0.7389036676343148,Average,0.5761424486531144,0.7616523597185278
70617,9-14,1.0816829266361438,Temple of The Ultimate Ultimate Weapon,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,GB,111.986,-0.03545224803757967,0.21607404970398805,Average,0.5761424486531144,0.9226065404825614
70632,9-14,0.8398554567664398,Quake Mech,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,GB,111.986,-0.14716871018238062,0.5646271283242064,Average,-0.04568866442619025,0.27878981742642556
70643,8-14,0.3140912561044462,Temple of Resurrection,blah,blahblah,NINJAGO®,GB,83.986,-0.2868142878633818,-1.0038617254667752,Average,-0.6675197775054948,-0.04311854410164314
70615,9-14,0.5294500476799539,Fire Mech,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,GB,83.986,0.0762642141072213,-1.3524148040869928,Average,-0.6675197775054948,0.6006981789544927
70613,8-14,0.29243506477283093,Garma Mecha Man,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,GB,83.986,-0.23095605679098136,-0.13247902891623026,Average,-0.04568866442619025,0.4397439981904592
70614,9-14,0.44763776931607385,Lightning Jet,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,GB,83.986,-0.23095605679098136,0.5646271283242064,Average,0.990696524039318,0.6006981789544927
70631,8-14,0.020529551386994468,Garmadon's Volcano Lair,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,GB,69.986,-0.2588851723271816,0.5646271283242064,Average,-0.4602427398123939,1.24451490201063
70642,8-14,0.06263881230957977,Killow vs. Samurai X,blah,blahblah,NINJAGO®,GB,62.986000000000004,-0.3985307500081828,0.21607404970398805,Average,-1.0820738528916984,0.4397439981904592
70612,8-14,0.04820135142183623,Green Ninja Mech Dragon,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,GB,62.986000000000004,0.3555553694692237,0.39035058901409647,Average,0.3688654109600134,0.4397439981904592
